"Title","URL"
"Learning a Policy for Opportunistic Active Learning","https://vimeo.com/306362379"
"RecipeQA: A Challenge Dataset for Multimodal Comprehension of Cooking Recipes","https://vimeo.com/306363701"
"TVQA: Localized, Compositional Video Question Answering","https://vimeo.com/306364803"
"Localizing Moments in Video with Temporal Language","https://vimeo.com/306365884"
"Heuristically Informed Unsupervised Idiom Usage Recognition","https://vimeo.com/305931117"
"Coming to Your Senses: on Controls and Evaluation Sets in Polysemy Research","https://vimeo.com/305931948"
"Predicting Semantic Relations using Global Graph Properties","https://vimeo.com/305933339"
"Learning Scalar Adjective Intensity from Paraphrases","https://vimeo.com/305934622"
"Pointwise HSIC: A Linear-Time Kernelized Co-occurrence Norm for Sparse Linguistic Expressions","https://vimeo.com/305935544"
"Neural Related Work Summarization with a Joint Context-driven Attention Mechanism","https://vimeo.com/305686976"
"Improving Neural Abstractive Document Summarization with Explicit Information Selection Modeling","https://vimeo.com/305885506"
"Don't Give Me the Details, Just the Summary! Topic-Aware Convolutional Neural Networks for Extreme Summarization","https://vimeo.com/305885893"
"Improving Abstraction in Text Summarization","https://vimeo.com/305886179"
"Content Selection in Deep Learning Models of Summarization","https://vimeo.com/305886331"
"Improved Semantic-Aware Network Embedding with Fine-Grained Word Alignment","https://vimeo.com/306030030"
"Learning Context-Sensitive Convolutional Filters for Text Processing","https://vimeo.com/306040551"
"Deep Relevance Ranking Using Enhanced Document-Query Interactions","https://vimeo.com/306041612"
"Learning Neural Representation for CLIR with Adversarial Framework","https://vimeo.com/306042980"
"AD3: Attentive Deep Document Dater","https://vimeo.com/306043956"
"Gromov-Wasserstein Alignment of Word Embedding Spaces","https://vimeo.com/305660461"
"Deep Probabilistic Logic: A Unifying Framework for Indirect Supervision","https://vimeo.com/305661315"
"Deriving Machine Attention from Human Rationales","https://vimeo.com/305661928"
"Semi-Supervised Sequence Modeling with Cross-View Training","https://vimeo.com/305662403"
"Using Lexical Alignment and Referring Ability to Address Data Sparsity in Situated Dialog Reference Resolution","https://vimeo.com/305936322"
"Subgoal Discovery for Hierarchical Dialogue Policy Learning","https://vimeo.com/305937184"
"Supervised Clustering of Questions into Intents for Dialog System Applications","https://vimeo.com/305938531"
"Decoupling Strategy and Generation in Negotiation Dialogues","https://vimeo.com/305940786"
"Large-scale Cloze Test Dataset Created by Teachers","https://vimeo.com/305886563"
"emrQA: A Large Corpus for Question Answering on Electronic Medical Records","https://vimeo.com/305887077"
"HotpotQA: A Dataset for Diverse, Explainable Multi-hop Question Answering","https://vimeo.com/305887533"
"Can a Suit of Armor Conduct Electricity? A New Dataset for Open Book Question Answering","https://vimeo.com/305887978"
"Evaluating Theory of Mind in Question Answering","https://vimeo.com/305888739"
"A Unified Syntax-aware Framework for Semantic Role Labeling","https://vimeo.com/306044975"
"Semantics as a Foreign Language","https://vimeo.com/306045906"
"An AMR Aligner Tuned by Transition-based Parser","https://vimeo.com/306049123"
"Dependency-based Hybrid Trees for Semantic Parsing","https://vimeo.com/306052219"
"Policy Shaping and Generalized Update Equations for Semantic Parsing from Denotations","https://vimeo.com/306053202"
"Sentence Compression for Arbitrary Languages via Multilingual Pivoting","https://vimeo.com/305663630"
"Unsupervised Cross-lingual Transfer of Word Embedding Spaces","https://vimeo.com/305664457"
"XNLI: Evaluating Cross-lingual Sentence Representations","https://vimeo.com/305665271"
"Joint Multilingual Supervision for Cross-lingual Entity Linking","https://vimeo.com/305666173"
"Fine-grained Coordinated Cross-lingual Text Stream Alignment for Endless Language Knowledge Acquisition","https://vimeo.com/305667349"
"Session-level Language Modeling for Conversational Speech","https://vimeo.com/305942129"
"Towards Less Generic Responses in Neural Conversation Models: A Statistical Re-weighting Method","https://vimeo.com/305942945"
"Training Millions of Personalized Dialogue Agents","https://vimeo.com/305943582"
"Towards Universal Dialogue State Tracking","https://vimeo.com/305944406"
"Semantic Parsing for Task Oriented Dialog using Hierarchical Representations","https://vimeo.com/305945055"
"The glass ceiling in NLP","https://vimeo.com/305889955"
"Reducing Gender Bias in Abusive Language Detection","https://vimeo.com/305891047"
"SafeCity: Understanding Diverse Forms of Sexual Harassment Personal Stories","https://vimeo.com/305891772"
"Learning multiview embeddings for assessing dementia","https://vimeo.com/305892345"
"WikiConv: A Corpus of the Complete Conversational History of a Large Online Collaborative Community","https://vimeo.com/305892676"
"Marginal Likelihood Training of BiLSTM-CRF for Biomedical Named Entity Recognition from Disjoint Label Sets","https://vimeo.com/306054703"
"Adversarial training for multi-context joint entity and relation extraction","https://vimeo.com/306055549"
"Structured Multi-Label Biomedical Text Tagging via Attentive Neural Tree Decoding","https://vimeo.com/306056257"
